,Accuratelongballs,Appearances,Assists,Catches,Cleansheets,Club,Errorsleadingtogoal,Fouls,GoalKicks,Goals,Goalsconceded,HighClaims,Name,Owngoals,Passes,Passespermatch,Penaltiessaved,Punches,Redcards,Saves,Sweeperclearances,Throwouts,Yellowcards
0,185,45,0,9,8,Arsenal,6,0,347,0,61,20,Bernd Leno,0,"1,255",27.89,1,23,0,158,19,271,2
1,28,6,0,2,3,Arsenal,0,1,39,0,7,13,Emiliano Martínez,0,124,20.67,0,1,0,9,2,30,0
2,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,Aston Villa,0,0,9,0,2,0,Ørjan Nyland,0,25,25,0,0,0,3,0,5,0
4,6,2,0,0,0,Aston Villa,0,0,5,0,1,1,Jed Steer,0,32,16,0,0,0,2,2,8,0
5,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,Lovre Kalinic,0,0,0,0,0,0,0,0,0,0
6,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
7,746,128,1,52,39,AFC Bournemouth,11,1,"1,004",0,186,142,Artur Boruc,0,"3,044",23.78,5,49,0,343,90,674,7
8,7,2,0,0,1,AFC Bournemouth,0,0,14,0,5,0,Mark Travers,0,43,21.5,0,0,0,9,2,13,0
9,70,13,1,2,3,AFC Bournemouth,0,0,106,0,17,5,Aaron Ramsdale,0,341,26.23,0,7,0,48,5,74,0
10,0,0,0,0,0,AFC Bournemouth,0,0,0,0,0,0,William Dennis,0,0,0,0,0,0,0,0,0,0
11,760,85,0,13,20,Brighton and Hove Albion,2,1,771,0,128,56,Mat Ryan,0,"2,407",28.32,2,22,0,271,10,325,2
12,0,0,0,0,0,,0,0,0,0,0,0,Jason Steele,0,0,0,0,0,0,0,0,0,0
13,27,4,0,1,1,Brighton and Hove Albion,0,0,34,0,5,2,David Button,0,99,24.75,0,2,0,14,1,9,0
14,"1,796",340,1,249,127,Burnley,20,6,"2,806",0,383,391,Joe Hart,0,"6,721",19.77,7,269,0,941,180,"1,516",7
15,462,48,0,14,16,Burnley,0,1,400,0,53,63,Nick Pope,0,"1,452",30.25,1,19,0,155,33,164,3
16,0,0,0,0,0,Burnley,0,0,0,0,0,0,Adam Legzdins,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,Burnley,0,0,0,0,0,0,Bailey Peacock-Farrell,0,0,0,0,0,0,0,0,0,0
18,256,49,0,7,17,Chelsea,0,0,348,0,58,17,Kepa Arrizabalaga,0,"1,407",28.71,1,11,0,104,15,213,2
19,135,28,0,5,10,Chelsea,2,0,138,0,26,19,Willy Caballero,0,651,23.25,1,14,0,62,14,115,0
20,0,0,0,0,0,Chelsea,0,0,0,0,0,0,Jamie Cumming,0,0,0,0,0,0,0,0,0,0
21,"1,610",180,1,95,37,Crystal Palace,13,1,"1,605",0,297,274,Wayne Hennessey,1,"4,823",26.79,3,71,0,614,121,681,4
22,197,31,0,10,10,Crystal Palace,0,1,287,0,37,13,Vicente Guaita,0,799,25.77,0,24,0,92,7,132,3
23,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,Stephen Henderson,0,0,0,0,0,0,0,0,0,0
24,"1,086",120,0,35,31,Everton,9,2,"1,036",0,180,83,Jordan Pickford,0,"3,704",30.87,4,61,0,391,58,471,1
25,356,55,0,19,10,Everton,6,0,464,0,86,60,Maarten Stekelenburg,1,"1,241",22.56,2,28,0,152,24,208,2
26,746,69,2,9,14,Everton,5,0,527,0,112,49,Jonas Lössl,1,"2,290",33.19,3,43,0,191,34,200,2
27,"1,705",184,0,75,57,Leicester City,5,0,"1,559",0,229,152,Kasper Schmeichel,1,"5,435",29.54,3,94,0,530,137,551,9
28,8,2,0,3,0,Leicester City,0,0,12,0,4,2,Danny Ward,0,49,24.5,0,0,0,9,2,8,0
29,202,28,0,11,6,Leicester City,1,0,269,0,47,20,Eldin Jakupovic,0,770,27.5,2,15,0,94,19,110,0
30,210,44,0,7,21,Liverpool,3,0,253,0,27,15,Alisson,0,"1,248",28.36,0,19,0,90,20,233,1
31,0,0,0,0,0,Liverpool,0,0,0,0,0,0,Caoimhin Kelleher,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,Liverpool,0,0,0,0,0,0,Andy Lonergan,0,0,0,0,0,0,0,0,0,0
33,"1,077",133,0,52,37,Liverpool,8,5,"1,230",0,173,149,Adrián,0,"3,348",25.17,5,53,2,448,104,519,10
34,119,26,0,8,6,Manchester City,1,0,137,0,30,14,Claudio Bravo,0,752,28.92,1,12,0,39,29,110,0
35,327,86,1,12,41,Manchester City,3,3,392,0,60,40,Ederson,0,"2,136",24.84,2,25,0,146,61,417,6
36,0,0,0,0,0,Manchester City,0,0,0,0,0,0,Daniel Grimshaw,0,0,0,0,0,0,0,0,0,0
37,830,145,2,164,30,Manchester City,10,4,"1,385",0,222,161,Scott Carson,1,"2,703",18.64,3,66,1,433,23,489,6
38,"1,882",288,0,102,102,Manchester United,10,1,"2,271",0,293,179,David de Gea,1,"6,449",22.39,2,100,0,810,82,"1,111",4
39,365,31,0,16,9,Manchester United,0,0,301,0,41,24,Lee Grant,0,959,30.94,0,21,0,99,21,114,1
40,54,7,0,2,6,Manchester United,0,0,38,0,2,10,Sergio Romero,0,181,25.86,1,1,0,20,5,39,0
41,508,52,1,11,8,Newcastle United,1,1,463,0,88,72,Robert Elliot,0,"1,462",28.12,1,41,1,141,37,168,1
42,459,63,0,11,18,Newcastle United,6,0,539,0,79,63,Martin Dubravka,0,"1,666",26.44,1,28,0,166,27,210,1
43,158,19,0,5,5,Newcastle United,1,0,163,0,26,29,Karl Darlow,1,512,26.95,1,12,0,58,9,66,0
44,"1,315",168,2,87,43,Norwich City,15,2,"1,488",0,262,223,Tim Krul,0,"4,325",25.74,4,100,0,500,177,640,5
45,4,2,0,0,0,Norwich City,0,0,14,0,6,0,Michael McGovern,0,40,20,1,2,0,7,1,11,0
