,Accuratelongballs,Appearances,Assists,Catches,Cleansheets,Club,Errorsleadingtogoal,Fouls,GoalKicks,Goals,Goalsconceded,HighClaims,Name,Owngoals,Passes,Passespermatch,Penaltiessaved,Punches,Redcards,Saves,Sweeperclearances,Throwouts,Yellowcards
0,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,Arsenal,0,0,0,0,0,0,Matt Macey,0,0,0,0,0,0,0,0,0,0
10,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
11,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
12,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
13,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
14,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
15,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
16,"1,022",108,0,71,27,Aston Villa,3,2,952,0,150,90,Tom Heaton,1,"3,081",28.53,3,37,0,378,50,393,5
