,Appearances,Assists,Bigchancescreated,Bigchancesmissed,Blockedshots,Clearances,Club,Crosses,Fouls,Freekicksscored,Goals,Goalspermatch,Goalswithleftfoot,Goalswithrightfoot,HeadedClearance,Headedgoals,Hitwoodwork,Interceptions,Name,Offsides,Passes,Passespermatch,Penaltiesscored,Redcards,Shootingaccuracy%,Shots,Shotsontarget,Tackles,Yellowcards
0,75,13,12,28,37,37,Arsenal,51,87,1,31,0.41,4,25,26,2,4,25,Alexandre Lacazette,51,"1,645",21.93,2,0,45%,170,76,66,5
1,62,9,11,34,41,28,Arsenal,96,21,1,40,0.65,8,32,9,0,5,15,Pierre-Emerick Aubameyang,44,"1,299",20.95,5,0,46%,159,73,35,2
2,7,0,0,0,1,0,Arsenal,6,4,0,0,7,0,0,0,0,0,3,Reiss Nelson,1,143,20.43,0,0,50%,6,3,7,1
3,12,2,3,2,5,1,Arsenal,51,7,0,1,0.08,1,0,1,0,1,4,Nicolas Pépé,1,295,24.58,1,0,30%,27,8,20,2
4,7,1,2,1,2,0,Arsenal,9,7,0,0,7,0,0,0,0,0,0,Bukayo Saka,1,100,14.29,0,0,25%,4,1,11,1
5,0,0,0,0,0,0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,Folarin Balogun,0,0,0,0,0,0%,0,0,0,0
6,2,0,0,0,0,1,Aston Villa,0,0,0,0,2,0,0,1,0,0,0,Jonathan Kodjia,0,5,2.5,0,0,0%,0,0,0,0
7,13,1,1,4,4,11,Aston Villa,3,28,0,4,0.31,0,4,8,0,1,3,Wesley,9,202,15.54,0,0,61%,23,14,10,1
8,0,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,Cameron Archer,0,0,0,0,0,0%,0,0,0,0
9,104,11,18,37,40,39,AFC Bournemouth,62,142,0,38,0.37,6,23,25,7,5,16,Callum Wilson,72,"1,344",12.92,5,0,43%,186,80,36,6
10,147,12,30,19,65,84,AFC Bournemouth,151,209,0,45,0.31,9,35,54,1,5,45,Joshua King,35,"2,901",19.73,10,0,40%,257,102,155,8
11,42,2,5,9,11,18,AFC Bournemouth,5,17,0,1,0.02,0,1,9,0,1,8,Dominic Solanke,3,443,10.55,0,0,34%,47,16,16,0
12,6,0,0,1,1,1,AFC Bournemouth,1,0,0,0,6,0,0,0,0,0,4,Arnaut Danjuma Groeneveld,2,72,12,0,0,33%,6,2,0,0
13,19,0,0,0,5,2,Brighton and Hove Albion,23,19,0,0,19,0,0,0,0,2,11,Alireza Jahanbakhsh,6,277,14.58,0,0,29%,21,6,32,2
14,135,5,12,30,32,79,Brighton and Hove Albion,33,219,0,36,0.27,4,22,52,10,4,17,Glenn Murray,112,"1,870",13.85,10,1,43%,189,82,61,20
15,47,4,4,3,19,32,Brighton and Hove Albion,29,26,0,5,0.11,0,5,11,0,0,21,José Izquierdo,18,728,15.49,0,0,28%,67,19,38,3
16,13,0,1,2,13,1,Brighton and Hove Albion,4,11,0,4,0.31,1,2,1,1,0,3,Neal Maupay,6,234,18,1,0,28%,39,11,8,1
17,9,0,0,2,4,2,Brighton and Hove Albion,6,6,0,2,0.22,0,2,1,0,0,0,Aaron Connolly,6,59,6.56,0,0,38%,16,6,2,0
18,7,0,0,1,2,2,Brighton and Hove Albion,0,7,0,0,7,0,0,1,0,0,4,Steven Alzate,3,235,33.57,0,0,29%,7,2,15,1
19,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Bojan Radulovic Samoukovic,0,0,0,0,0,0%,0,0,0,0
20,148,6,11,27,50,109,Burnley,61,257,0,38,0.26,4,29,72,5,6,30,Ashley Barnes,87,"2,400",16.22,5,2,38%,271,104,100,31
21,83,3,7,23,16,51,Burnley,21,56,0,27,0.33,6,9,36,12,6,3,Chris Wood,101,"1,221",14.71,0,0,48%,128,62,25,4
22,41,5,2,3,2,7,Burnley,8,8,0,4,0.1,0,4,3,0,0,4,Matej Vydra,7,227,5.54,0,0,53%,19,10,6,1
23,154,11,12,26,76,100,Burnley,120,136,0,35,0.23,6,23,70,6,9,78,Jay Rodriguez,80,"2,438",15.83,1,0,36%,319,115,131,10
24,129,15,16,11,56,30,Chelsea,267,84,0,28,0.22,14,12,8,2,4,80,Pedro,36,"3,745",29.03,0,0,34%,239,82,137,12
25,224,28,40,76,100,167,Chelsea,89,210,0,78,0.35,42,6,106,30,18,62,Olivier Giroud,113,"4,459",19.91,2,2,38%,510,194,137,17
26,18,4,4,2,6,0,Chelsea,34,4,0,0,18,0,0,0,0,0,5,Callum Hudson-Odoi,4,344,19.11,0,0,43%,14,6,10,1
27,210,29,42,17,97,49,Chelsea,866,118,3,30,0.14,3,26,21,1,13,90,Willian,31,"7,221",34.39,1,1,35%,349,122,220,19
